cafe_id,kakao_place_id,kakao_name,naver_place_id,naver_name,address,latitude,longitude,phone,rating,review_count,business_hours,close_hour,collected_reviews,place_kind,kakao_place_url,naver_map_url,name_similarity,match_status
C018,2099620703,러블리파이마카롱,1204840219.0,러블리 파이 마카롱,경기 용인시 처인구 명지로40번길 10,37.23266283398739,127.18745033732498,031-334-0010,4.34,371.0,10:30 ~ 22:00,22.0,10,restaurant,http://place.map.kakao.com/2099620703,https://map.naver.com/p/entry/place/1204840219,1.0,matched
C019,417226483,다다온족욕찜질카페,2018886597.0,다다온족욕찜질카페,경기 용인시 처인구 명지로40번길 8,37.232702907844526,127.1877490623719,031-326-0300,0.0,116.0,11:00 ~ 23:00,23.0,21,restaurant,http://place.map.kakao.com/417226483,https://map.naver.com/p/entry/place/2018886597,1.0,matched
C020,966941854,엔제리너스 롯데시네용인역북점,,,경기 용인시 처인구 중부대로 1294,37.23547363952967,127.18830587562697,070-7432-4872,,,,,0,,http://place.map.kakao.com/966941854,,0.0,not_found
C021,701653960,딸기가좋아 용인점,1184699820.0,딸기가좋아 용인점,경기 용인시 처인구 중부대로 1294,37.23547363952967,127.18830587562697,031-339-9686,4.5,1456.0,11:00 ~ 20:00,20.0,10,restaurant,http://place.map.kakao.com/701653960,https://map.naver.com/p/entry/place/1184699820,1.0,matched
C022,1043021636,HED커피,,,경기 용인시 처인구 명지로 29,37.2334615828632,127.188885733173,010-4138-5698,,,,,0,,http://place.map.kakao.com/1043021636,,0.0,not_found
C023,1779184799,보드빌,1729064919.0,보드빌,경기 용인시 처인구 명지로40번길 4,37.2327095511323,127.1881051761,031-323-5017,4.57,147.0,12:30 ~ 23:00,23.0,12,restaurant,http://place.map.kakao.com/1779184799,https://map.naver.com/p/entry/place/1729064919,1.0,matched
C024,1004110899,원더플레이키즈 용인점,1283333088.0,원더플레이키즈 용인점,경기 용인시 처인구 명지로40번길 4,37.232685982595136,127.18819414183244,0507-1324-8758,0.0,195.0,09:00 ~ 24:00,24.0,13,restaurant,http://place.map.kakao.com/1004110899,https://map.naver.com/p/entry/place/1283333088,1.0,matched
C025,789625125,설빙 경기용인역북점,1067407907.0,설빙 용인역북점,경기 용인시 처인구 명지로40번길 4,37.23265360954966,127.188153493359,,4.59,1325.0,11:00 ~ 23:00,23.0,8,restaurant,http://place.map.kakao.com/789625125,https://map.naver.com/p/entry/place/1067407907,0.875,matched
C026,1239243025,클라드커피,1299081119.0,클라드커피,경기 용인시 처인구 명지로 15-4,37.2344358858158,127.189279203583,,0.0,118.0,11:00 ~ 20:00,20.0,10,restaurant,http://place.map.kakao.com/1239243025,https://map.naver.com/p/entry/place/1299081119,1.0,matched
C027,1336715068,드롭탑 용인역북점,1000559258.0,드롭탑 용인역북점,경기 용인시 처인구 중부대로 1294,37.2357104629202,127.1884011271787,031-322-3456,4.15,413.0,09:30 ~ 22:00,22.0,7,restaurant,http://place.map.kakao.com/1336715068,https://map.naver.com/p/entry/place/1000559258,1.0,matched
C028,1531416555,메가번 용인역북점,2081597006.0,메가번 용인역북점,경기 용인시 처인구 명지로40번길 9,37.23228922771653,127.18724319267169,070-7613-8680,0.0,15.0,10:00 ~ 23:00,23.0,6,restaurant,http://place.map.kakao.com/1531416555,https://map.naver.com/p/entry/place/2081597006,1.0,matched
C029,773594471,커피인류 용인역북점,1999017894.0,커피인류 용인역북점,경기 용인시 처인구 명지로40번길 9,37.232290657215,127.187478714926,070-8656-0109,0.0,159.0,08:30 ~ 21:00,21.0,10,restaurant,http://place.map.kakao.com/773594471,https://map.naver.com/p/entry/place/1999017894,1.0,matched
C030,1669474999,지니어스,1079357919.0,카페지니어스,경기 용인시 처인구 명지로60번길 8-14,37.2322176966652,127.188031833694,,0.0,726.0,10:00 ~ 24:00,24.0,10,restaurant,http://place.map.kakao.com/1669474999,https://map.naver.com/p/entry/place/1079357919,0.8,matched
C031,1578769976,빽다방 용인역북남부점,1431723367.0,빽다방 용인역북남부점,경기 용인시 처인구 명지로60번길 8-13,37.23193742903877,127.1874902359992,031-335-9146,4.3,1800.0,08:00 ~ 23:00,23.0,8,restaurant,http://place.map.kakao.com/1578769976,https://map.naver.com/p/entry/place/1431723367,1.0,matched
C032,2081039363,우지커피 용인역북점,2074674579.0,우지커피 용인역북점,경기 용인시 처인구 명지로60번길 8-13,37.2319151294614,127.187347067247,031-339-1660,0.0,24.0,08:00 ~ 22:00,22.0,10,restaurant,http://place.map.kakao.com/2081039363,https://map.naver.com/p/entry/place/2074674579,1.0,matched
C033,743266845,사실빙 용인역북점,2086620946.0,사실빙 용인역북점,경기 용인시 처인구 명지로60번길 8-13,37.2319088346437,127.187339163525,,0.0,2.0,11:00 ~ 23:00,23.0,4,restaurant,http://place.map.kakao.com/743266845,https://map.naver.com/p/entry/place/2086620946,1.0,matched
C034,810882833,스타벅스 용인역북점,4382073.0,,경기 용인시 처인구 명지로 41,37.23210664921862,127.18873585859438,1522-3232,,,,,0,restaurant,http://place.map.kakao.com/810882833,https://map.naver.com/p/entry/place/4382073,0.0,manual_check
C035,83644267,하이오커피 용인역북점,1161417048.0,하이오커피 용인역북점,경기 용인시 처인구 명지로60번길 8-10,37.23156768935887,127.18768652326754,031-326-0319,0.0,286.0,08:00 ~ 23:00,23.0,6,restaurant,http://place.map.kakao.com/83644267,https://map.naver.com/p/entry/place/1161417048,1.0,matched
C036,71306187,레드버튼 용인역북점,1438947731.0,보드게임카페 레드버튼 용인역북점,경기 용인시 처인구 명지로60번길 8-10,37.2316043176196,127.187884943811,031-338-1185,0.0,488.0,13:00 ~ 24:00,24.0,10,restaurant,http://place.map.kakao.com/71306187,https://map.naver.com/p/entry/place/1438947731,0.75,matched
C037,2097994252,메가MGC커피 용인역북점,1016043923.0,메가MGC커피 용인역북점,경기 용인시 처인구 명지로60번길 8-10,37.23157833573763,127.1877913488654,031-322-3977,4.43,1221.0,08:00 ~ 23:00,23.0,7,restaurant,http://place.map.kakao.com/2097994252,https://map.naver.com/p/entry/place/1016043923,1.0,matched
C038,2131106863,카페일리터 처인점,,,경기 용인시 처인구 명지로 37,37.232824737225606,127.18989158566733,,,,,,0,,http://place.map.kakao.com/2131106863,,0.0,not_found
C039,401310784,투썸플레이스 용인역북점,1042222117.0,투썸플레이스 용인역북점,경기 용인시 처인구 명지로60번길 8-10,37.2315464989315,127.18798058452845,031-323-0044,4.41,1338.0,09:00 ~ 23:00,23.0,10,restaurant,http://place.map.kakao.com/401310784,https://map.naver.com/p/entry/place/1042222117,1.0,matched
C040,986596721,욤카페 역북점,1442164514.0,욤카페 역북점,경기 용인시 처인구 명지로40번길 15-15,37.2312916983992,127.186717858743,031-339-7736,0.0,87.0,,,9,restaurant,http://place.map.kakao.com/986596721,https://map.naver.com/p/entry/place/1442164514,1.0,matched
C041,598632395,카페요시,1597462090.0,카페요시,경기 용인시 처인구 명지로40번길 15-15,37.2312881297596,127.186695312565,070-8285-3673,4.26,164.0,12:20 ~ 21:00,21.0,9,restaurant,http://place.map.kakao.com/598632395,https://map.naver.com/p/entry/place/1597462090,1.0,matched
C042,1300222763,우노커피랩,2040177290.0,우노커피랩,경기 용인시 처인구 중부대로1299번길 2,37.2366322593139,127.189513465313,,0.0,26.0,,,10,restaurant,http://place.map.kakao.com/1300222763,https://map.naver.com/p/entry/place/2040177290,1.0,matched
C043,1116254771,향기가득카페촌 이마트용인점,,,경기 용인시 처인구 명지로 53,37.23147708178141,127.1891354556777,,,,,,0,,http://place.map.kakao.com/1116254771,,0.0,not_found
C044,297118119,그레이핍플 역북점,2095878008.0,그레이핍플 용인역북점,경기 용인시 처인구 명지로60번길 8-4,37.2309494475099,127.187764998193,031-328-2966,0.0,16.0,09:00 ~ 20:00,20.0,11,restaurant,http://place.map.kakao.com/297118119,https://map.naver.com/p/entry/place/2095878008,0.889,matched
C045,1101481980,팜스보드게임 명지대점,1416645486.0,팜스보드게임카페 명지대점,경기 용인시 처인구 명지로60번길 8-4,37.2309494475209,127.187764998194,,0.0,1255.0,13:00 ~ 24:00,24.0,10,restaurant,http://place.map.kakao.com/1101481980,https://map.naver.com/p/entry/place/1416645486,0.909,matched
C046,595241025,웰빙카페,1358786585.0,레드브릭101,경기 용인시 처인구 중부대로 1199,37.240189455079,127.176779365129,,0.0,232.0,,,10,restaurant,http://place.map.kakao.com/595241025,https://map.naver.com/p/entry/place/1358786585,0.0,manual_check
C047,735180,도노커피 용인시청점,1071564020.0,도노커피 용인시청점,경기 용인시 처인구 중부대로 1199,37.24101944716104,127.1778959202865,031-323-5434,0.0,282.0,08:30 ~ 17:30,17.5,7,restaurant,http://place.map.kakao.com/735180,https://map.naver.com/p/entry/place/1071564020,1.0,matched
C048,1199839158,복다방,1651463073.0,복다방,경기 용인시 처인구 중부대로 1199-1,37.23945833899322,127.17882539978577,,0.0,1.0,,,0,restaurant,http://place.map.kakao.com/1199839158,https://map.naver.com/p/entry/place/1651463073,1.0,matched
C049,110613458,슬로,1826166263.0,슬로위치,경기 용인시 처인구 중부대로1188번길 2,37.23766835387,127.176764462061,,0.0,16.0,09:30 ~ 16:00,16.0,2,restaurant,http://place.map.kakao.com/110613458,https://map.naver.com/p/entry/place/1826166263,0.667,matched
C050,1749667941,단오,1727424626.0,단오위캔즈,경기 용인시 처인구 중부대로 1154,37.2393304621662,127.173323138374,010-9839-1336,,,10:00 ~ 19:00,19.0,0,restaurant,http://place.map.kakao.com/1749667941,https://map.naver.com/p/entry/place/1727424626,0.571,ambiguous
C051,18341425,애플하우스,31378381.0,애플하우스,경기 용인시 처인구 금학로 155,37.2403757626326,127.181091718743,031-322-1567,4.33,653.0,10:00 ~ 21:00,21.0,9,restaurant,http://place.map.kakao.com/18341425,https://map.naver.com/p/entry/place/31378381,1.0,matched
C052,311652531,아이갓에브리씽 용인교육지원청점,1605546979.0,아이갓에브리씽 용인교육지원청점,경기 용인시 처인구 중부대로1161번길 69,37.2425997990649,127.179738959663,,0.0,8.0,08:00 ~ 17:00,17.0,7,restaurant,http://place.map.kakao.com/311652531,https://map.naver.com/p/entry/place/1605546979,1.0,matched
C053,1784347011,마스에프앤비 카페,,,경기 용인시 처인구 중부대로 1216,37.2373935117903,127.179772803326,0507-1397-7616,,,,,0,,http://place.map.kakao.com/1784347011,,0.0,not_found
C054,1192013944,폴바셋 용인시청DT점,1574828301.0,폴 바셋 용인시청 DT점,경기 용인시 처인구 중부대로 1139,37.2405552145674,127.171927326909,031-322-0920,0.0,1455.0,08:00 ~ 22:00,22.0,10,restaurant,http://place.map.kakao.com/1192013944,https://map.naver.com/p/entry/place/1574828301,1.0,matched
C055,1568993032,컴포즈커피 용인시청점,2054226170.0,컴포즈커피 용인시청점,경기 용인시 처인구 중부대로 1138,37.2399950021035,127.171763766689,031-322-0790,0.0,3.0,07:00 ~ 22:00,22.0,2,restaurant,http://place.map.kakao.com/1568993032,https://map.naver.com/p/entry/place/2054226170,1.0,matched
C056,1458314019,메가MGC커피 용인더트리니호텔점,2078608492.0,메가MGC커피 용인더트리니호텔점,경기 용인시 처인구 중부대로 1218,37.2373166206892,127.180563745779,,0.0,1.0,08:00 ~ 22:00,22.0,1,restaurant,http://place.map.kakao.com/1458314019,https://map.naver.com/p/entry/place/2078608492,1.0,matched
C057,935742945,스타벅스 용인시청DT점,3540479.0,,경기 용인시 처인구 중부대로 1130,37.24036639052467,127.17103205661986,1522-3232,,,,,0,restaurant,http://place.map.kakao.com/935742945,https://map.naver.com/p/entry/place/3540479,0.0,manual_check
C058,601922991,길과사람,1117349442.0,길과사람,경기 용인시 처인구 중부대로 1124-1,37.2405502669698,127.170363029899,,0.0,15.0,,,6,restaurant,http://place.map.kakao.com/601922991,https://map.naver.com/p/entry/place/1117349442,1.0,matched
C059,366346965,그카페그커피,1950683474.0,그 카페 그 커피,경기 용인시 처인구 중부대로 1113-10,37.2417512234205,127.169830396057,031-328-2636,0.0,118.0,10:00 ~ 17:00,17.0,9,restaurant,http://place.map.kakao.com/366346965,https://map.naver.com/p/entry/place/1950683474,1.0,matched
C060,166605907,카페 오굿,1213027633.0,카페 오굿,경기 용인시 처인구 중부대로 1110-1,37.24124603273586,127.1689941426587,,0.0,112.0,08:30 ~ 21:30,21.5,16,restaurant,http://place.map.kakao.com/166605907,https://map.naver.com/p/entry/place/1213027633,1.0,matched
C061,61284016,메가MGC커피 삼가역점,1342574627.0,메가MGC커피 삼가역점,경기 용인시 처인구 지삼로 612,37.24150098220508,127.16839400954692,031-335-4611,0.0,281.0,08:00 ~ 22:00,22.0,7,restaurant,http://place.map.kakao.com/61284016,https://map.naver.com/p/entry/place/1342574627,1.0,matched
C062,706441552,카페9.1,1231635420.0,카페9.1,경기 용인시 처인구 중부대로1262번길 68,37.2327178546608,127.179265869678,,0.0,9.0,10:00 ~ 20:00,20.0,1,restaurant,http://place.map.kakao.com/706441552,https://map.naver.com/p/entry/place/1231635420,1.0,matched
C063,25414841,커피에반하다 용인삼가역점,1049135950.0,커피에반하다 용인삼가역점,경기 용인시 처인구 지삼로590번길 9,37.2404795540314,127.166869152063,031-321-9341,0.0,121.0,08:00 ~ 20:00,20.0,14,restaurant,http://place.map.kakao.com/25414841,https://map.naver.com/p/entry/place/1049135950,1.0,matched
C064,5283314,궁촌커피로스터즈,1210281462.0,궁촌커피로스터즈,경기 용인시 처인구 지삼로590번길 10,37.24004234374769,127.16637343544916,,4.52,288.0,09:00 ~ 19:00,19.0,8,restaurant,http://place.map.kakao.com/5283314,https://map.naver.com/p/entry/place/1210281462,1.0,matched
C065,469922132,처인재,2008820163.0,처인재,경기 용인시 처인구 용인대학로 86-1,37.2314619808069,127.174313676027,,0.0,172.0,08:30 ~ 21:00,21.0,10,restaurant,http://place.map.kakao.com/469922132,https://map.naver.com/p/entry/place/2008820163,1.0,matched
C066,2137037027,카페586,1688125276.0,카페586,경기 용인시 처인구 지삼로 586,37.240676095967935,127.16550365043936,0507-1353-4815,4.71,130.0,11:00 ~ 20:00,20.0,10,restaurant,http://place.map.kakao.com/2137037027,https://map.naver.com/p/entry/place/1688125276,1.0,matched
C067,2003162177,프루토리,,,경기 용인시 처인구 중부대로1281번길 10-13,37.2374650254291,127.188257861737,,,,,,0,,http://place.map.kakao.com/2003162177,,0.0,not_found
C068,64413919,피크닉 햄퍼,,,경기 용인시 처인구 중부대로1281번길 10-13,37.23746502544,127.188257861738,,,,,,0,,http://place.map.kakao.com/64413919,,0.0,not_found
C069,59600861,트리아농,37191645.0,트리아농,경기 용인시 처인구 삼가로 20,37.245590984817,127.166366472063,031-333-7277,4.22,93.0,10:00 ~ 18:00,18.0,10,restaurant,http://place.map.kakao.com/59600861,https://map.naver.com/p/entry/place/37191645,1.0,matched
C070,185940710,유베이크샵,1700132111.0,유베이크샵,경기 용인시 처인구 용문로 30-5,37.2376635065407,127.189230925051,0502-5553-2976,0.0,305.0,11:00 ~ 18:30,18.5,28,restaurant,http://place.map.kakao.com/185940710,https://map.naver.com/p/entry/place/1700132111,1.0,matched
C071,2001539738,메가MGC커피 명지대역점,1018385169.0,메가MGC커피 명지대역점,경기 용인시 처인구 중부대로1299번길 13,37.2374831343718,127.189333027645,031-333-3595,0.0,918.0,07:00 ~ 23:00,23.0,10,restaurant,http://place.map.kakao.com/2001539738,https://map.naver.com/p/entry/place/1018385169,1.0,matched
C072,922202387,카페라딘,1220325968.0,카페라딘,경기 용인시 처인구 지삼로 563,37.2407329949409,127.163461632971,0507-1331-3986,4.47,602.0,10:00 ~ 21:00,21.0,9,restaurant,http://place.map.kakao.com/922202387,https://map.naver.com/p/entry/place/1220325968,1.0,matched
C073,800085854,카페프리헷 용인역북점,1934309850.0,카페프리헷 용인역북점,경기 용인시 처인구 명지로40번길 35-16,37.2307882261913,127.183701135892,0507-1342-2159,,,00:00 ~ 24:00,24.0,0,restaurant,http://place.map.kakao.com/800085854,https://map.naver.com/p/entry/place/1934309850,1.0,matched
C074,63381879,카페명암,1439471869.0,카페명암,경기 용인시 처인구 중부대로1299번길 12,37.23716443914291,127.18972441140382,,0.0,118.0,,,7,restaurant,http://place.map.kakao.com/63381879,https://map.naver.com/p/entry/place/1439471869,1.0,matched
C075,1459966598,베이크카페,1336880171.0,베이크로,경기 용인시 처인구 금학로 237,37.2383603784374,127.19012861144326,031-333-1371,0.0,109.0,10:00 ~ 18:00,18.0,11,restaurant,http://place.map.kakao.com/1459966598,https://map.naver.com/p/entry/place/1336880171,0.667,matched
C076,294583587,업스테얼즈커피,,,경기 용인시 기흥구 동백중앙로16번길 16-25,37.2568194365195,127.167889276329,,,,,,0,,http://place.map.kakao.com/294583587,,0.0,not_found
C077,102070006,와그와그컴퍼니,1455012300.0,와그와그컴퍼니,경기 용인시 기흥구 동백죽전대로175번길 17,37.2569023479531,127.160735927331,,0.0,37.0,11:00 ~ 22:00,22.0,13,restaurant,http://place.map.kakao.com/102070006,https://map.naver.com/p/entry/place/1455012300,1.0,matched
C078,945119254,카페다 용인시청점,37378849.0,카페다 용인시청점,경기 용인시 처인구 지삼로 484,37.2365576877338,127.156695438559,031-336-1289,4.19,48.0,,,7,restaurant,http://place.map.kakao.com/945119254,https://map.naver.com/p/entry/place/37378849,1.0,matched
C079,1391702928,안녕마루,1885770221.0,"안녕,마루",경기 용인시 처인구 지삼로 477,37.2362145957173,127.155856283056,0507-1342-1276,0.0,948.0,11:00 ~ 21:00,21.0,10,restaurant,http://place.map.kakao.com/1391702928,https://map.naver.com/p/entry/place/1885770221,1.0,matched
C080,2044616307,디어도터,1428817371.0,디어도터,경기 용인시 처인구 지삼로470번길 4-3,37.23512825880559,127.15697533862232,031-333-9737,0.0,27.0,09:00 ~ 20:00,20.0,10,restaurant,http://place.map.kakao.com/2044616307,https://map.naver.com/p/entry/place/1428817371,1.0,matched
C081,1455448004,해피타임,1177390928.0,해피타임,경기 용인시 처인구 지삼로 470,37.2348271295555,127.157111071844,,4.12,86.0,10:00 ~ 22:00,22.0,1,restaurant,http://place.map.kakao.com/1455448004,https://map.naver.com/p/entry/place/1177390928,1.0,matched
C082,426277944,더그레이스,2047696623.0,더그레이스,경기 용인시 기흥구 동백죽전대로 201-11,37.2590035618944,127.158070988058,,0.0,1.0,09:00 ~ 17:30,17.5,1,restaurant,http://place.map.kakao.com/426277944,https://map.naver.com/p/entry/place/2047696623,1.0,matched
C083,1274773574,커스텀커피 중동직영점,1029186063.0,커스텀커피 중동직영점,경기 용인시 기흥구 동백중앙로 53-19,37.2602464708162,127.160473608407,,4.4,425.0,09:30 ~ 18:00,18.0,10,restaurant,http://place.map.kakao.com/1274773574,https://map.naver.com/p/entry/place/1029186063,1.0,matched
C084,502627877,용인타이니풀 모래 놀이드로잉 무인키즈카페,1590246988.0,용인 타이니풀 모래놀이 드로잉 무인키즈카페,경기 용인시 기흥구 동백죽전대로 207,37.2608814146358,127.158683659755,010-2225-8559,0.0,135.0,10:00 ~ 20:00,20.0,19,restaurant,http://place.map.kakao.com/502627877,https://map.naver.com/p/entry/place/1590246988,1.0,matched
C085,586514981,컴포즈커피 용인초당점,1259903676.0,컴포즈커피 용인초당점,경기 용인시 기흥구 동백중앙로 55,37.26116437312856,127.16198728422772,,0.0,53.0,07:30 ~ 20:00,20.0,10,restaurant,http://place.map.kakao.com/586514981,https://map.naver.com/p/entry/place/1259903676,1.0,matched
C086,1883255680,데이롱카페 용인상하점,1766089679.0,데이롱카페 용인상하점,경기 용인시 기흥구 중부대로788번길 3,37.25802215116874,127.1425971895047,,0.0,19.0,00:00 ~ 24:00,24.0,3,restaurant,http://place.map.kakao.com/1883255680,https://map.naver.com/p/entry/place/1766089679,1.0,matched
C087,2047426051,메가 MGC커피 용인상하쌍용점,1646624793.0,메가MGC커피 용인상하쌍용점,경기 용인시 기흥구 중부대로 783,37.25867489137893,127.14302453082522,070-8821-2228,0.0,93.0,08:00 ~ 21:00,21.0,9,restaurant,http://place.map.kakao.com/2047426051,https://map.naver.com/p/entry/place/1646624793,1.0,matched
C088,472428337,피크닉제이,1499668433.0,피크닉제이,경기 용인시 기흥구 중부대로788번길 13,37.25693740998571,127.14175196063736,0502-5552-2070,0.0,16.0,10:30 ~ 18:30,18.5,10,restaurant,http://place.map.kakao.com/472428337,https://map.naver.com/p/entry/place/1499668433,1.0,matched
C089,254405360,달달하당,1987582886.0,달달하당,경기 용인시 기흥구 중부대로788번길 13,37.25711332867929,127.14157192960457,031-281-1253,4.54,162.0,10:00 ~ 20:00,20.0,10,restaurant,http://place.map.kakao.com/254405360,https://map.naver.com/p/entry/place/1987582886,1.0,matched
C090,711936960,스타벅스 용인상하DT점,3537715.0,,경기 용인시 기흥구 중부대로 771,37.25968490936397,127.14231850085628,1522-3232,,,,,0,restaurant,http://place.map.kakao.com/711936960,https://map.naver.com/p/entry/place/3537715,0.0,manual_check
C091,61697995,컴포즈커피 용인상하점,1660770367.0,컴포즈커피 용인상하점,경기 용인시 기흥구 중부대로788번길 16,37.25776440471101,127.14113351514196,070-8877-9184,0.0,676.0,08:30 ~ 21:00,21.0,10,restaurant,http://place.map.kakao.com/61697995,https://map.naver.com/p/entry/place/1660770367,1.0,matched
C092,1362199129,상하커피,1640592190.0,상하커피,경기 용인시 기흥구 중부대로788번길 22,37.2575308849689,127.140501813647,,0.0,2.0,00:00 ~ 24:00,24.0,1,restaurant,http://place.map.kakao.com/1362199129,https://map.naver.com/p/entry/place/1640592190,1.0,matched
C093,999618594,더노벰버라운지 기흥점,2036467628.0,The november 라운지 기흥점,경기 용인시 기흥구 중부대로746번길 1,37.2604154462269,127.140986275451,031-282-9325,0.0,160.0,07:00 ~ 04:00,28.0,10,restaurant,http://place.map.kakao.com/999618594,https://map.naver.com/p/entry/place/2036467628,0.444,ambiguous
C094,1415331586,데일리아트스토리,2029563081.0,하나은행365 데일리아트스토리 ATM,경기 용인시 기흥구 중부대로746번길 1,37.2609280203744,127.14032775389,,,,00:00 ~ 24:00,24.0,0,restaurant,http://place.map.kakao.com/1415331586,https://map.naver.com/p/entry/place/2029563081,0.615,matched
C095,2126682816,레디쉬드롭,1655601903.0,레디쉬드롭커피로스터스,경기 용인시 기흥구 중부대로746번길 7,37.2612458278652,127.139786104609,031-286-3485,0.0,197.0,11:00 ~ 21:00,21.0,10,restaurant,http://place.map.kakao.com/2126682816,https://map.naver.com/p/entry/place/1655601903,0.625,matched
C096,25147607,카페베레카,1162393198.0,카페베레카 용인상하점,경기 용인시 기흥구 중부대로746번길 8,37.2615704934475,127.139539821406,,0.0,6.0,10:30 ~ 20:00,20.0,6,restaurant,http://place.map.kakao.com/25147607,https://map.naver.com/p/entry/place/1162393198,0.667,matched
